"Read Details","Lees details"
"Add this attribute to the list of filter options in the product grid.","Dit attribuut toe aan de lijst met filteropties in het product-grid toevoegen."
System,Systeem
"All Store Views","Alle Winkelaanzichten"
"Delete items","Items verwijderen"
"Delete selected items?","Verwijder geselecteerde items?"
"Change status","Verander status"
Enable,Activeer
Disable,Deactiveer
"Update attributes","Atttributen bijwerken"
none,geen
Overview,Overzicht
Details,Gegevens
"Terms & Conditions","Algemene voorwaarden"
"Enable Terms and Conditions","Algemene Voorwaarden activeren"
"Checkout Options",Betaalopties
"Enable Onepage Checkout","OnePageCheckout (standaard Checkout) activeren"
"Allow Guest Checkout","Afrekenen als gast toestaan"
"Quote Lifetime (days)","Geldigheid winkelwagen (dagen)"
"After Adding a Product Redirect to Shopping Cart","Winkelmandje tonen na toevoegen van een product"
"My Cart Link",Winkelwagenlink
"Display Cart Summary","Winkelwagen-samenvatting weergave"
"Shopping Cart Sidebar","Zijbalk winkelwagen"
"Display Shopping Cart Sidebar","Zijbalk winkelwagen tonen"
"Maximum Display Recently Added Item(s)","Maximum aantal recent toegevoegde producten"
"Payment Failed Emails","E-mails over mislukte betaling"
"Payment Failed Email Sender","Afzender Betaling Mislukt E-mail"
"Payment Failed Email Receiver","Ontvanger Betaling Mislukt E-mail"
"Payment Failed Template","Sjabloon Betaling Mislukt"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Send Payment Failed Email Copy To","Stuur kopie Betaling Mislukt e-mail aan"
"Separate by """".","Gescheiden door """"."
"Send Payment Failed Email Copy Method","Verzendmethode voor kopie Betaling Mislukt e-mail"
Summary,Samenvatting
"Order Total",Totaal
"We'll send your order confirmation here.","We sturen de bevestiging van de bestelling hiernaar toe."
Payment,Betaling
"Not yet calculated","Nog niet berekend"
"We received your order!","Wij hebben uw bestelling ontvangen!"
"Thank you for your purchase!","Bedankt voor uw bestelling!"
"Media Gallery",Mediagallerij
"Content Management",CMS-instellingen
"CMS Home Page","CMS thuispagina"
"CMS No Route Page","CMS-pagina > Pagina niet gevonden"
"CMS No Cookies Page","CMS geen Cookies pagina"
"Show Breadcrumbs for CMS Pages","Kruimelpad tonen voor CMS-pagina's"
"Browser Capabilities Detection","Detectie van browsermogelijkheden"
"Redirect to CMS-page if Cookies are Disabled","Redirect naar de CMS-page als de Cookies zijn uitgeschakeld"
"Show Notice if JavaScript is Disabled","Waarschuw als javascript is uitgeschakeld"
"Show Notice if Local Storage is Disabled","Waarschuw als lokale opslag is uitgeschakeld"
"WYSIWYG Options","WYSIWYG Opties"
"Enable WYSIWYG Editor","WYSWIGY editor activeren"
"CMS Page Link","CMS-pagina link"
"Link to a CMS Page","Link naar een CMS-pagina"
"CMS Page",CMS-pagina
"Select Page...","Selecteer pagina..."
"Anchor Custom Text","Zet eigen tekst vast"
"If empty the Page Title will be used","Indien leeg zal de paginatitel gebruikt worden"
"Anchor Custom Title","Zet eigen titel vast"
"CMS Page Link Block Template","CMS pagina link blokkerende template"
"CMS Page Link Inline Template","CMS link ingelijnde template"
"CMS Static Block","CMS Statisch Blok"
"Contents of a Static Block","Inhoud van statisch blok"
Block,Blok
"Select Block...","Selecteer blok..."
"CMS Static Block Default Template","CMS Statisch Block > Standaard sjabloon"
"General Information","Algemene informatie"
"Enable Block","Blok inschakelen"
"Block Title",Bloktitel
"Delete items","Items verwijderen"
"Are you sure you wan't to delete selected items?","Weet u zeker dat u de geselecteerde producten wilt verwijderen?"
"Page Information",Paginagegevens
"Enable Page","Pagina inschakelen"
Content,inhoud
"Content Heading","Content Titel"
"Search Engine Optimisation","Zoekmachine-optimalisatie (SEO)"
"Meta Title","Meta titel"
"Meta Keywords",Meta-keywords
"Meta Description",Meta-omschrijving
"Page in Websites","Pagina in Websites"
Design,Ontwerp
"Layout Update XML","Lay-out update XML"
"Custom Design Update","Aangepaste ontwerp Update"
From,Van
To,Aan
"New Theme","Nieuw thema"
"-- Please Select --","-- Selecteer Alstublieft --"
"New Layout","Nieuwe lay-out"
Disable,Deactiveer
Enable,Activeer
"Custom design from","Aangepast ontwerp van"
"Custom design to","Aangepast ontwerp tot"
"Custom Theme","Eigen Thema"
"Custom Layout","Custom lay-out"
"Group Label",Groep-Label
"Some Label","Sommige labels"
"Allow everything","Alles toestaan"
"Manage Stores","Beheer Winkels"
"Field 2","Veld 2"
"Field 3","Veld 3"
"Field 3.1","Veld 3.1"
"Field 3.1.1","Veld 3.1.1"
"Field 4","Veld 4"
"Advanced Section","Geavanceerde sectie"
"Advanced Admin Section","Geavanceerde adminsectie"
"Design Section","Ontwerp sectie"
"General Section","Algemene sectie"
"System Section","Systeem sectie"
"Currency Setup Section","Valuta-instellingen sectie"
"Developer Section","Ontwerper sectie"
"Web Section","Web sectie"
"Store Email Addresses Section","Winkel E-mailadressen sectie"
"Email to a Friend","E-mail naar een vriend"
"Configurable Product Image","Afbeelding configureerbaar product"
Select...,Selecteer...
"Attribute Code",Attribuutcode
"Attribute Label",Attribuutlabel
Required,Vereist
System,systeem
Visible,Zichtbaar
Scope,Bereik
Searchable,Doorzoekbaar
Comparable,Vergelijkbaar
"Contacts Section","Contact sectie"
Contacts,Contacten
"Contact Us","Mail ons"
"Enable Contact Us","â€˜Mail onsâ€™ inschakelen"
"Email Options","E-mail opties"
"Send Emails To","E-mails versturen aan"
"Email Sender","E-mail Afzender"
"Email Template","E-mail template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Default Cookie Settings","Standaard Cookie-instellingen"
"Cookie Lifetime","Cookie levensduur"
"Cookie Path","Cookie Pad"
"Cookie Domain","Cookie Domein"
"Use HTTP Only","Alleen HTTP gebruiken"
"Cookie Restriction Mode","Cookie restrictiemodus"
"Cron (Scheduled Tasks)","Cron (Geplande taken)"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set. All the times are in minutes.","Om correcte URL's te genereren tijdens cron zorg er voor dat Web > Veilige en onbeveiligde Base URL's expliciet zijn ingesteld. Alle tijden zijn in minuten."
"Generate Schedules Every","Maak planningen elke"
"Schedule Ahead for","Planning vooruit maken voor"
"Missed if Not Run Within","Gemist als niet uitgevoerd binnen"
"History Cleanup Every","Geschiedenis opruimen elke"
"Success History Lifetime","Success history lifetime"
"Failure History Lifetime","Failure history lifetime"
"Use Separate Process","Gebruik afzonderlijk proces"
Currency,Valuta
"All Customers","Alle Klanten"
"Now Online","Nu online"
"Customers Section","Klanten sectie"
"Customer Configuration",Klant-configuratie
"Account Sharing Options","Opties account delen"
"Share Customer Accounts","Klantaccounts delen"
"Create New Account Options","Nieuwe account-opties aanmaken"
"Enable Automatic Assignment to Customer Group","Inschakelen automatische verandering van groep a.h.v. BTW-nummer."
"Tax Calculation Based On","BTW berekening op basis van"
"Default Group",Standaardgroep
"Group for Valid VAT ID - Domestic","Groep voor geldig BTW-nummer - Binnenland"
"Group for Valid VAT ID - Intra-Union","Groep voor geldig BTW-nummer - EU"
"Group for Invalid VAT ID","Groep voor ongeldig BTW-nummer"
"Validation Error Group","Valideer fout-groep"
"Validate on Each Transaction","Valideer bij elke transactie"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standaard-waarde voor 'Uitschakelen automatische verandering van groep a.h.v. BTW-nummer.'"
"Show VAT Number on Storefront","BTW-nummer op winkelaanzicht weergeven"
"To show VAT number on Storefront set Show VAT Number on Storefront option to Yes.","Om het BTW-nummer in winkelaanzicht weer te geven optie BTW-nummer op Winkelaanzicht weergeven op Ja zetten."
"Default Email Domain","Standaard e-maildomein"
"Default Welcome Email","Standaard welkomst-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Default Welcome Email Without Password","Standaard welkom email zonder wachtwoord"
"Email Sender","Afzender E-mail"
"Require Emails Confirmation","E-mailbevestiging verplichten"
"Confirmation Link Email","Bevestinglink e-mail"
"Welcome Email",Welkomstmail
"Generate Human-Friendly Customer ID","Genereer klantvriendelijk klant-ID"
"Password Options",Wachtwoordopties
"Forgot Email Template","Sjabloon e-mail vergeten"
"Remind Email Template","Email Template herinnering-e-mail"
"Reset Password Template","Reset wachtwoord sjabloon"
"Password Template Email Sender","Afzender Wachtwoord Sjabloon E-mail"
"Recovery Link Expiration Period (hours)","Herstel Link verloopperiode (uur)"
"Please enter a number 1 or greater in this field.","Vul een nummer van 1 of groter in in dit veld."
"Number of Required Character Classes","Aantal vereiste tekenklassen"
"Number of different character classes required in password: Lowercase Uppercase Digits Special Characters.","Aantal verschillende karakterklassen vereist in wachtwoord: kleine letters hoofdletters cijfers en speciale tekens."
"Minimum Password Length","Minimale wachtwoordlengte"
"Maximum Login Failures to Lockout Account","Maximaal aantal foute logins om het account te blokkeren"
"Use 0 to disable account locking.","Gebruik 0 om het blokkeren van accounts uit te schakelen."
"Lockout Time (minutes)","Lockout tijd (minuten)"
"Name and Address Options","Naam- en adresopties"
"Number of Lines in a Street Address","Aantal regels in adres"
"Leave empty for default (2). Valid range: 1-4","Laat leeg voor standaard (2). Geldige opties: 1-4"
"Show Prefix","Voorvoegsel tonen"
"The title that goes before name (Mr. Mrs. etc.)","De aanhef die voor de naam staat (heer mevrouw etc.)"
"Prefix Dropdown Options","Dropdown-opties voorvoegsel"
"Show Middle Name (initial)","Midden-initiaal tonen"
"Always optional.","Altijd optioneel"
"Show Suffix","Achtervoegsel tonen"
"The suffix that goes after name (Jr. Sr. etc.)","De afkorting die achter de naam staat (Jr. Sr. etc.)"
"Suffix Dropdown Options","Dropdown-opties achtervoegsel"
"Show Date of Birth","Geboortedatum tonen"
"Show Tax/VAT Number","BTW-nummer tonen"
"Show Gender","Geslacht tonen"
"Login Options",Aanmeldopties
"Redirect Customer to Account Dashboard after Logging in","Redirect klant naar Accountpagina na inloggen"
"Customer will stay on the current page if ""No"" is selected.","Klant zal op de huidige pagina blijven als Nee is geselecteerd."
"Address Templates","Adres sjablonen"
"Online Customers Options","Opties Online klanten"
"Online Minutes Interval","Online minuteninterval"
"Leave empty for default (15 minutes).","Laat leeg voor standaard (15 minuten)."
"Enable Autocomplete on login/forgot password forms","Inschakelen automatisch aanvullen op login en wachtwoord vergeten formulieren"
"Customer Notification",Klantnotificatie
"Customer Grid",Klantentabel
"Rebuild Customer grid index","Klant-tabel index herbouwen"
Group,Groep
"Add New Customer","Nieuwe klant toevoegen"
"Delete items","Items verwijderen"
"Are you sure to delete selected customers?","Weet u zeker dat u de geselecteerde klanten wilt verwijderen?"
"Subscribe to Newsletter","Abonneren op de nieuwsbrief"
"Unsubscribe from Newsletter","Afmelden voor nieuwsbrief"
"Are you sure to unsubscribe selected customers from newsletter?","Ben u zeker dat u de geselecteerde klanten wil uitschrijven op de nieuwsbrief?"
"Assign a Customer Group","Klantgroep toewijzen"
"Are you sure to assign selected customers to new group?","Ben u zeker dat u de geselecteerde klanten wil toevoegen aan een nieuwe groep?"
Phone,Telefoonnummer
ZIP,Postcode
"Customer Since","Klant Sinds"
"Confirmed email",E-mailbevestiging
"Account Created in","Account gemaakt in"
"Tax VAT Number","BTW nummer"
"Billing Firstname","Facturering voornaam"
"Billing Lastname","Facturering achternaam"
"Account Lock",Account-blokkade
"First Name",Voornaam
"Last Name",Achternaam
"Last Activity","Laatste activiteit"
"Customer Information",Klantgegevens
"If your Magento site has multiple views you can set the scope to apply to a specific view.","Als uw Magento site meerdere weergaven heeft kunt u de scope instellen naar een bepaalde weergave."
"Disable Automatic Group Change Based on VAT ID","Automatische verandering van groep a.h.v. BTW-nummer uitschakelen"
"Send Welcome Email From","Verzend welkom e-mail vanuit"
Addresses,Adressen
"Are you sure you want to delete this item?","Weet u zeker dat u dit artikel wil verwijderen?"
"Account Dashboard",Accountoverzicht
"Edit Account Information","Bewerk rekening informatie"
"Password forgotten","Wachtwoord vergeten"
"My Dashboard",Overzicht
"You are signed out","U bent afgemeld"
"Frontend Development Workflow","Front-end Development workflow"
"Workflow type","Type werkstroom"
"Not available in production mode","Niet beschikbaar in productie mode"
"Developer Client Restrictions","Beperk bewerkingen in omgeving o.b.v. IP adres"
"Allowed IPs (comma separated)","Toegestane IP's (door komma's gescheiden)"
"Leave empty for access from any location.","Indien het veld leeg is zal deze functionaliteit voor iedereen zichtbaar zijn"
"Enabled for Checkout","Ingeschakeld bij Afrekenen"
"Gateway URL","Betaalplatform URL"
Title,Titel
"Access ID",Toegangs-ID
Password,Wachtwoord
"Account Number",Account-nummer
"Calculate Handling Fee","Verzendkosten berekenen"
"Handling Applied","Verwerkingskosten toegepast"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Per bestelling"" laat een Ã©Ã©nmalige verwerkingskost voor de hele bestelling toe. ""Per pakket"" laat een verwerkingskost voor elk pakket toe."
"Handling Fee",Verwerkingskosten
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Selecteer dit om DHL te laten instaan voor een geoptimalizeerde splitsing van de bestelling indien het meer weegt dan 70kg."
"Weight Unit",Gewichtseenheid
Size,Grootte
"Allowed Methods","Toegestane methodes"
"Displayed Error Message","Weergeven foutbericht"
"Free Method","Gratis methode"
"Enable Free Shipping Threshold","Free Shipping Threshold inschakelen"
"Free Shipping Amount Threshold","Maximaal bedrag voor gratis verzending"
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
"Show Method if Not Applicable","Laat verzendmethode zien indien niet van toepassing"
"Sort Order","Sorteer Bestelling"
Debug,"Fouten opsporen in programma"
"Currency Setup",Valuta-instellingen
"Currency Options",Valuta-opties
"Base Currency",Basis-valuta
"Default Display Currency","Standaard-weergave valuta"
"Allowed Currencies","Toegestane valuta"
"Connection Timeout in Seconds","Connectie timeout in seconden"
Webservicex,"Webservicex instellingen"
"Scheduled Import Settings","Instellingen geplande import"
Enabled,Ingeschakeld
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Afzender Error E-mail"
"Error Email Template","Foutmelding Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
Frequency,Frequentie
"Start Time","Begin Tijd"
"Installed Currencies","Geinstalleerde valuta"
"Zip/Postal Code is Optional for","Postcode is optioneel voor"
"State Options",Staat-opties
"State is Required for","Staat is verplicht voor"
"Allow to Choose State if It is Optional for Country","Mogelijkheid tot kiezen van staat indien het optioneel is voor een land"
"Weight Unit",Gewichtseenheid
"Downloadable Product Section","Downloadbare producten sectie"
"Downloadable Product Options","Opties download-product"
"Order Item Status to Enable Downloads","Artikelstatus om downloads in te schakelen"
"Default Maximum Number of Downloads","Standaard-maximum voor aantal downloads"
"Default Sample Title","Standaard-titel van demo"
"Default Link Title",Standaard-linktitel
"Open Links in New Window","Links openen in nieuw venster"
"Use Content-Disposition","Gebruik Content-Disposition"
"Disable Guest Checkout if Cart Contains Downloadable Items","Niet-ingelogd afrekenen uitschakelen als het winkelwagen download-producten bevat."
"Guest checkout will only work with shareable.","Afrekenen als gast werk alleen met deelbare producten"
"EAV types and attributes","EAV typen en kenmerken"
"Entity types declaration cache","Entiteit typen verklaringen cache"
Communications,Communicatie
"No Templates Found","Geen sjablonen gevonden"
Added,Toegevoegd
Updated,Bijgewerkt
Subject,Onderwerp
"Template Type","Template soort"
Action,Actie
"Logo Image","Logo afbeelding"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Toegestane bestand types: jpg, jpeg, gif, png. Om een logo te optimalizeren voor hoge resolutie schermen  upload een afbeelding die 3x zo groot is en specifieer vervolgens 1x de dimensies in de breedte/hoogte velden."
"Logo Image Alt","Alt-tekst logo"
"Logo Width","Logo breedte"
"Necessary only if an image has been uploaded above. Enter number of pixels without appending ""px"".","Enkkel verplicht als u hierboven een afbeelding heeft geupload. Geeft het aantal pixels in zonder ""px"" toe te voegen."
"Logo Height","Logo hoogte"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Enkkel verplicht als u hierboven een afbeelding heeft geupload. Geeft het aantal pixels in zonder ""px"" toe te voegen."
"Header Template","Koptekst sjabloon"
"Email template chosen based on theme fallback when the ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Footer Template","Voettekst sjabloon"
"Manage Encryption Key","Beheer Encryptie sleutel"
"Enabled for Checkout","Ingeschakeld bij Afrekenen"
Title,Titel
"Account ID",Klant-ID
"Please make sure to use only digits here. No dashes are allowed.","Gebruik alleen cijfers. Streepjes zijn niet toegestaan."
Key,Sleutel
Password,Wachtwoord
"Web-Services URL (Production)","Web-Services URL (productie)"
Packaging,Verpakking
Dropoff,Dropshipment
"Weight Unit",Gewichtseenheid
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum pakketgewicht (Vraag uw transportbedrijf naar het maximaal toegestane pakketgewicht)"
"Calculate Handling Fee","Verzendkosten berekenen"
"Handling Applied","Verwerkingskosten toegepast"
"Handling Fee",Verwerkingskosten
"Residential Delivery","Particulier adres"
"Allowed Methods","Toegestane methodes"
"Free Method","Gratis methode"
"Free Shipping Amount Threshold","Maximaal bedrag voor gratis verzending"
"Enable Free Shipping Threshold","Gratis verzending drempel inschakelen"
"Displayed Error Message","Weergeven foutbericht"
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
Debug,"Fouten opsporen in programma"
"Show Method if Not Applicable","Laat verzendmethode zien indien niet van toepassing"
"Sort Order","Sorteer Bestelling"
"Allow Gift Messages on Order Level","Cadeau-berichten toestaan op orderniveau"
"Allow Gift Messages for Order Items","Cadeau-berichten toestaan op orderniveau"
Enable,Activeer
"Conversion ID",Conversie-ID
"Conversion Language","Conversie taal"
"Conversion Format",Conversie-formaat
"Conversion Color","Conversie kleur"
"Conversion Label","Conversie Label"
"Conversion Value Type","Waardetype conversie"
"Conversion Value",Conversiewaarde
Enable,Activeer
"Account Number",Account-nummer
"Enable Content Experiments","Schakel inhoud experimenten in"
"Category View Optimization","Categorie weergave optimalisatie"
"Grouped Product Image","Afbeelding gegroepeerd product"
Select...,Selecteer...
Quantity,Aantal
AttributeSetText,Attributesettekst
StatusText,Statustekst
"Start Date&Time","Begindatum & tijd"
User,Gebruiker
"Imported File","GeÃ¯mporteerde bestand"
"Error File",Foutbestand
"Execution Time",Uitvoeringstijd
Summary,Samenvatting
"Change indexer mode","Indexeer modus wijzigen"
Description,Omschrijving
Mode,Type
Updated,Bijgewerkt
Extensions,Uitbreidingen
"Cleanup Settings",Opruim-instellingen
"Cleanup Probability",Opruim-waarschijlijkheid
"Expiration Period",Verloop-periode
"Consumer Settings","Consument instellingen"
"OAuth consumer credentials HTTP Post maxredirects","OAuth gebruikersgegevens HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth gebruikersgegevens HTTP Post timeout"
"Integrations Configuration","Configuratie integraties"
"Integration configuration file","Integratie configuratie bestand"
"Integrations API Configuration","Integratie API configuratie"
"Integrations API configuration file","Integraties API configuratiebestand"
"We couldn't find any records.","Geen record(s) gevonden."
"Layered Navigation","Gelaagde navigatie"
"Display Product Count","Toon aantal producten"
"Price Navigation Step Calculation","Prijsweergave (stappen)"
"Default Price Navigation Step","Stappen (10/20/30/ etc...)"
"Display Price Interval as One Price","Toon prijs-stap als Ã©Ã©n prijs"
"Please specify the number of products that will not be divided into subintervals.","Geef het aantal producten op welke niet in deelintervallen verdeeld zullen worden."
"Storage Configuration for Media","Opslaglocatie voor mediabestanden"
"Media Storage","Media opslag"
"Select Media Database","Selecteer mediadatabase"
"After selecting a new media storage location press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","Na het selecteren van de nieuwe media opslaglocatie drukt u op de synchronizeren knop om alle media naar de nieuwe locatie over te brengen. De media zal niet beschikbaar zijn op de nieuwe locatie totdat het synchronisatieproces voltooid is."
"Environment Update Time","Update tijd"
"Minimum Advertised Price","Minimum geadverteerde verkoopprijs"
"Enable MAP","Activeer minimum geadverteerde verkoopprijs"
"Display Actual Price","Toon werkelijke prijs"
"Default Popup Text Message","Standaard popup bericht"
"Default ""What's This"" Text Message","Standaard ""Wat is dit?"" bericht"
"Multishipping Settings Section","Multishipping instellingen sectie"
"Multishipping Settings","Multishipping instellingen"
Options,Opties
"Allow Shipping to Multiple Addresses","Verzending naar meer adressen toestaan"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximaal aantal voor verzending naar meer adressen"
"Review Order","Controleer bestlling"
"Select Shipping Method","Kies een verzendmethode"
"We received your order!","Wij hebben uw bestelling ontvangen!"
"New Relic Reporting Section","New Relic Rapportage Sectie"
"New Relic Reporting","New Relic Rapportage"
General,Algemeen
"Enable New Relic Integration","Schakel New Relic integratie in"
"Use %s to replace the account ID in the URL","Gebruik van %s te vervangen door de account-ID in de URL"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""New Relic Account nodig? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Klik hier om er een te krijgen"
"New Relic Application ID","New Relic Applicatie ID"
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""","Dit kan vaak worden gevonden op het einde van de URL bij het bekijken van de APM na ""/applications /"""
"New Relic API Key","New Relic API Sleutel"
"This is located by navigating to Events -> Deployments from the New Relic APM website","Dit ligt door te navigeren naar Gebeurtenissen-> Implementaties van de New Relic APM-website"
"Insights API Key","Insights API Sleutel"
"Generated under Insights in Manage data -> API Keys -> Insert Keys","Die zijn verkregen onder Insights in Beheer gegevens-> API Keys-> invoegen sleutels"
"New Relic Application Name","New Relic Applicatie Naam"
"This is located by navigating to Settings from the New Relic APM website","Dit ligt door te navigeren naar Instellingen van de New Relic APM-website"
"Enable Cron","Cron inschakelen"
"Newsletter Template","Nieuwsbrief Sjabloon"
"Newsletter Section","Nieuwsbrief sectie"
"Subscription Options",Abonnementopties
"Allow Guest Subscription","Inschrijven voor gasten toestaan"
"Need to Confirm","Moet bevestigen"
"Confirmation Email Sender","Afzender Bevestiging E-mail"
"Confirmation Email Template","Bevestiging e-mail sjabloon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Success Email Sender","Afzender Succes E-mail"
"Success Email Template","Succes e-mail sjabloon"
"Unsubscription Email Sender","Afzender Uitschrijving E-mail"
"Unsubscription Email Template","Template e-mail uitschrijving"
"We found no problems.","We hebben geen problemen aangetroffen."
Subscriber,Abonnee
"Queue Start Date","Wachtrij begindatum"
"Queue Subject","Wachtrij onderwerp"
"Error Code",Foutcode
"Error Text",Fouttekst
"Queue Start","Wachtrij start"
"Queue End","Wachtrij einde"
Processed,Verwerkt
Recipients,Geadresseerden
Unsubscribe,Uitschrijven
Delete,Verwijder
Guest,Bezoeker
Customer,Klant
"Customer First Name","Voornaam klant"
"Customer Last Name","Achternaam klant"
"Not Activated","Niet geactiveerd"
Subscribed,Geabonneerd
Unsubscribed,Uitgeschreven
Unconfirmed,Onbevestigd
"Web Site",Website
Store,Winkel
"Store View",Winkelaanzicht
"Newsletter Subscriptions",Nieuwsbrieven
"Check / Money Order","Betaling door middel van Overboeking"
Enabled,Ingeschakeld
"New Order Status","Status nieuwe bestelling"
"Sort Order","Sorteer Bestelling"
Title,Titel
"Payment from Applicable Countries","Betaling van GeÃ«igende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Make Check Payable to","Maak overboeking naar:"
"Minimum Order Total","Minimale bestelwaarde"
"Maximum Order Total","Maximale bestelwaarde"
"Purchase Order",Inkooporder
"Bank Transfer Payment",Bankoverschrijving
Instructions,Instructies
"Cash On Delivery Payment","Betalen bij levering"
"Zero Subtotal Checkout","Nul subtotaal afrekenen"
"Automatically Invoice All Items","Factureer items automatisch"
"Flat Rate","Vast tarief"
Enabled,Ingeschakeld
"Method Name","Naam van methode"
Price,Prijs
"Calculate Handling Fee","Verzendkosten berekenen"
"Handling Fee",Verwerkingskosten
"Sort Order","Sorteer Bestelling"
Title,Titel
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
"Show Method if Not Applicable","Laat verzendmethode zien indien niet van toepassing"
"Displayed Error Message","Weergeven foutbericht"
"Table Rates","Tarieven prijstabel"
Condition,conditie
"Include Virtual Products in Price Calculation","Virtuele Producten eveneens mee laten tellen bij berekening"
"Free Shipping","Gratis verzending"
"Minimum Order Amount","Minimum bestelbedrag"
"-- Please Select --","-- Selecteer --"
"Full Page Cache","Volledige paginacache"
"Caching Application","Caching applicatie"
"Varnish Configuration","Varnish configuratie"
"Access list",Toegangslijst
"IPs access list separated with '",' that can purge Varnish configuration for config file generation.
"                            If field is empty default value localhost will be saved.""IPs toegangslijst gescheiden met '","' die de Varnish configuratie kan wissen voor config bestand generatie. Als het veld leeg is wordt standaard waarde localhost opgeslagen."
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Geef een backend host op voor generatie van config bestand. Indien het veld leeg is zal de standaar waarde localhost gebruikt worden."
"Backend port","Backend poort"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Geef een backend poort op voor generatie van config bestand. Indien het veld leeg is zal de standaar waarde 8080 gebruikt worden."
"TTL for public content","TTL voor openbare inhoud"
"Page Cache","Pagina cache"
"Full page caching","Volledige paginacaching."
"Payment Methods Section","Sectie Betaalmethodes"
"Payment Services",Betaalservices
"Payment Methods",Betaalmethodes
"PayPal Section",PayPal-sectie
"PayPal Settlement","PayPal afwikkeling"
Fetch,"Haal op"
Actions,Acties
Manage,Beheren
"Place Order Using Billing Agreements","Plaats bestelling met via uw incasso-overeenkomst"
"Merchant Location","Merchant locatie"
"Merchant Country","Land webwinkel"
"If not specified Default Country from General Config will be used","Indien niet opgegeven zal het standaard land in de basisconfiguratie gebruikt worden."
"Choose a secure bundled payment solution for your business.","Kies een beveiligde gebundelde betalingsoplossing voor uw bedrijf."
"Payments Pro and Express Checkout","Payments Pro and Express kassa"
"Basic Settings - PayPal Payments Pro","Basisinstellingen - PayPal Pro betalingen"
"PayPal Payment Gateways","PayPal betalingsgateways"
"Process payments using your own internet merchant account.","Verwerk betalingen met behulp van uw eigen internet merchant account."
"Add another payment method to your existing solution or as a stand-alone option.","Voeg een andere betalingsmethode toe aan uw bestaande oplossing of als een aparte oplossing."
1,Ã©Ã©n
"Accept payments with a completely customizable checkout page.","Acccepteer betalingen met een volledig aanpasbare afrekeningspagina."
"PayPal Payment Solutions",PayPal-betaaloplossingen
"Add PayPal as an additional payment method to your checkout page.","Voeg PayPal toe aan uw kassa pagina als een bijkomende betalingsmethode."
"Required PayPal Settings","Vereiste PayPal-instellingen"
"Email Associated with PayPal Merchant Account","E-mail gekoppeld aan PayPal Merchant Account"
"API Username","API gebruikersnaam"
"API Password","API wachtwoord"
"API Uses Proxy","API gebruikt Proxy"
"Enable this Solution","Inschakelen van deze oplossing"
"Enable In-Context Checkout Experience","In-Context afhandeling inschakelen"
"Merchant Account ID","Merchant Account-ID"
"Enable PayPal Credit","PayPal Credit inschakelen"
"Sort Order PayPal Credit","Sorteervolgorde PayPal Krediet"
"Advertise PayPal Credit","Adverteer PayPal krediet"
"Publisher ID",Uitgever-ID
"Required to display a banner","Noodzakelijk voor weergave van een banner"
